Claims_revived,Claims_declined,Insurer_Encoded,Quarter_Scaled,Reliability_Label_Encoded,Reliability_Score,Insurer,Year,Quarter,Reliability_Label
-0.5782749708592642,0.6668080826845382,-1.3726820112252411,-0.621783367780644,1.107806262184504,87.49750461087353,AAR INSURANCE COMPANY LIMITED,2018,2,Very Good
-0.5782749708592642,-0.2069191402881424,-1.324614646876203,-0.621783367780644,-1.258918122971666,41.1520192797194,AFRICAN MERCHANT ASSURANCE COMPANY LIMITED,2018,2,Average
-0.5585230676188722,-0.2069191402881424,-1.2765472825271649,-0.621783367780644,-1.258918122971666,52.45334348872947,AIG KENYA INSURANCE COMPANY LIMITED,2018,2,Average
-0.5776577238830019,-0.2069191402881424,-1.2284799181781263,-0.621783367780644,-1.258918122971666,40.65627947788812,ALLIANZ INSURANCE COMPANY LIMITED,2018,2,Average
-0.5782749708592642,-0.2069191402881424,-1.1804125538290884,-0.621783367780644,-1.258918122971666,57.404719285795615,APA INSURANCE COMPANY LIMITED,2018,2,Average
0.4846243222643283,-0.2069191402881424,-1.0362104607819738,-0.621783367780644,0.3188981337991139,30.47336244825589,BRITAM GENERAL INSURANCE COMPANY (K) LTD,2018,2,Poor
-0.5616093025001834,-0.2069191402881424,-0.9400757320838974,-0.621783367780644,0.3188981337991139,28.93404473729632,CANNON GENERALINSURANCE COMPANY LIMITED,2018,2,Poor
-0.5782749708592642,-0.2069191402881424,-0.843941003385821,-0.621783367780644,0.3188981337991139,34.9638023937338,CIC GENERAL INSURANCE LIMITED,2018,2,Poor
-0.5782749708592642,-0.2069191402881424,-0.6997389103387065,-0.621783367780644,1.896714390569894,19.90590283846189,CORPORATE INSURANCE COMPANY LIMITED,2018,2,Very Poor
-0.5782749708592642,-0.2069191402881424,-0.6516715459896683,-0.621783367780644,0.3188981337991139,27.99935999431106,DIRECTLINE ASSURANCE COMPANY LIMITED,2018,2,Poor
-0.3147105119952839,-0.2069191402881424,-0.6036041816406301,-0.621783367780644,1.896714390569894,19.404893264280894,FIDELITY SHIELD INSURANCE COMPANY LIMITED,2018,2,Very Poor
1.714180298978728,-0.2069191402881424,-0.5555368172915919,-0.621783367780644,-1.258918122971666,43.8688940647064,FIRST ASSURANCE COMPANY LIMITED,2018,2,Average
-0.5782749708592642,0.091718094126348,-0.5074694529425537,-0.621783367780644,-1.258918122971666,45.985567174754,GA INSURANCE LIMITED,2018,2,Average
-0.5782749708592642,-0.2069191402881424,-0.3632673598954392,-0.621783367780644,0.3188981337991139,30.48373937615829,GEMINIA INSURANCE COMPANY LIMITED,2018,2,Poor
-0.4035940765770477,-0.1983866478762998,1.2710230279718593,-0.621783367780644,-1.258918122971666,44.89197226934792,THE HERITAGE INSURANCE COMPANY LIMITED,2018,2,Average
-0.5782749708592642,-0.2069191402881424,-0.2190652668483245,-0.621783367780644,0.3188981337991139,20.875161693518848,ICEA LION GENERAL INSURANCE COMPANY LIMITED,2018,2,Poor
-0.5782749708592642,-0.2069191402881424,-0.1229305381502482,-0.621783367780644,-1.258918122971666,49.12417239504592,INTRA AFRICA ASSURANCE COMPANY LIMITED,2018,2,Average
-0.5628437964527079,-0.2069191402881424,-0.07486317380121,-0.621783367780644,0.3188981337991139,23.43424005038775,INVESCO ASSURANCE COMPANY LIMITED,2018,2,Poor
-0.5375366704259557,-0.2069191402881424,-0.0267958094521718,-0.621783367780644,1.107806262184504,82.91255197298236,JUBILEE ALLIANZ GENERAL INSURANCE LIMITED,2018,2,Very Good
-0.5782749708592642,-0.2069191402881424,0.1654736479439809,-0.621783367780644,-1.258918122971666,56.17900538875109,KENINDIA ASSURANCE COMPANY LIMITED,2018,2,Average
-0.515933026256777,-0.1847346600173516,0.2135410122930191,-0.621783367780644,1.896714390569894,18.91997991344684,KENYA ORIENT INSURANCE LIMITED,2018,2,Very Poor
-0.5782749708592642,4.422811242377644,0.3577431053401337,-0.621783367780644,1.107806262184504,84.4770443073697,MADISON GENERAL INSURANCE KENYA LIMITED,2018,2,Very Good
-0.5677817722628059,-0.2069191402881424,0.4538778340382101,-0.621783367780644,-1.258918122971666,42.08611421178735,MAYFAIR INSURANCE COMPANY LIMITED,2018,2,Average
-0.5751887359779528,-0.2069191402881424,0.5980799270853246,-0.621783367780644,0.3188981337991139,38.36059605249309,OCCIDENTAL INSURANCE COMPANY LIMITED,2018,2,Poor
-0.5782749708592642,-0.1983866478762998,0.7422820201324392,-0.621783367780644,0.3188981337991139,39.52053362040799,PACIS INSURANCE COMPANY LIMITED,2018,2,Poor
-0.4745774788472063,-0.2069191402881424,0.7903493844814774,-0.621783367780644,0.3188981337991139,30.88104919202066,PHOENIX OF EAST AFRICA INSURANCE ,2018,2,Poor
-0.5782749708592642,-0.2017996448410368,0.8864841131795538,-0.621783367780644,-1.258918122971666,52.0268097214408,PIONEER GENERAL INSURANCE LIMITED,2018,2,Average
-0.4702567500133706,0.3476928664816255,0.9826188418776302,-0.621783367780644,-0.4700099945862759,63.04173020103394,SAHAM INSURANCE COMPANY LIMITED,2018,2,Good
-0.2097785260307015,0.3801163376466274,1.0306862062266684,-0.621783367780644,0.3188981337991139,29.74664872838085,SANLAM GENERAL INSURANCE COMPANY LIMITED,2018,2,Poor
-0.5782749708592642,-0.1864411584997202,1.174888299273783,-0.621783367780644,0.3188981337991139,33.25602544025949,TAKAFUL INSURANCE OF AFRICA LIMITED,2018,2,Poor
-0.5782749708592642,-0.2069191402881424,1.2229556636228212,-0.621783367780644,0.3188981337991139,38.08154904798143,TAUSI ASSURANCE COMPANY LIMITED,2018,2,Poor
