Date,Insurer,Claims_outstanding_at_the_beginning_of_the_quarter,Claims_intimated_during_the_quarter,Claims_revived,Claims_paid,Claims_declined,Claims_closed_as_no_claims,Claims_outstanding_at_the_end,Claims_declined_ratio_(%),Claims_closed_as_no_claims_ratio_(%),Claim_payment_ratio_(%),Total_Claims_Payable,Total_Claims_Action_during_the_Quarter,Claims_closed_as_no_claims_ratio (%)
2018-06-30,AAR INSURANCE COMPANY LIMITED,26026.0,129415.0,0.0,133313.0,512.0,3630.0,17986.0,0.3293854259815621,2.335291203736466,85.76437362085936,155441.0,137455.0,2.335291203736466
2018-06-30,AFRICAN MERCHANT ASSURANCE COMPANY LIMITED,1824.0,654.0,0.0,714.0,0.0,0.0,1764.0,0.0,0.0,28.8135593220339,2478.0,714.0,0.0
2018-06-30,AIG KENYA INSURANCE COMPANY LIMITED,1424.0,1214.0,32.0,1152.0,0.0,53.0,1465.0,0.0,1.9850187265917603,43.146067415730336,2670.0,1205.0,1.9850187265917603
2018-06-30,ALLIANZ INSURANCE COMPANY LIMITED,157.0,135.0,1.0,84.0,0.0,4.0,205.0,0.0,1.3651877133105803,28.668941979522184,293.0,88.0,1.3651877133105803
2018-06-30,APA INSURANCE COMPANY LIMITED,6070.0,3071.0,0.0,4431.0,0.0,0.0,4710.0,0.0,0.0,48.47390876271743,9141.0,4431.0,0.0
2018-06-30,BRITAM GENERAL INSURANCE COMPANY (K) LTD,298128.0,149447.0,1722.0,71420.0,0.0,0.0,377877.0,0.0,0.0,15.895944108240206,449297.0,71420.0,0.0
2018-06-30,CANNON GENERALINSURANCE COMPANY LIMITED,1019.0,410.0,27.0,241.0,0.0,110.0,1105.0,0.0,7.554945054945055,16.552197802197803,1456.0,351.0,7.554945054945055
2018-06-30,CIC GENERAL INSURANCE LIMITED,10573.0,3118.0,0.0,2920.0,0.0,0.0,10771.0,0.0,0.0,21.327879628953326,13691.0,2920.0,0.0
2018-06-30,CORPORATE INSURANCE COMPANY LIMITED,890.0,138.0,0.0,32.0,0.0,0.0,996.0,0.0,0.0,3.11284046692607,1028.0,32.0,0.0
2018-06-30,DIRECTLINE ASSURANCE COMPANY LIMITED,65.0,59.0,0.0,24.0,0.0,24.0,76.0,0.0,19.35483870967742,19.35483870967742,124.0,48.0,19.35483870967742
2018-06-30,FIDELITY SHIELD INSURANCE COMPANY LIMITED,4589.0,1247.0,427.0,157.0,0.0,0.0,6106.0,0.0,0.0,2.5067858853584544,6263.0,157.0,0.0
2018-06-30,FIRST ASSURANCE COMPANY LIMITED,40362.0,38118.0,3714.0,28083.0,0.0,5096.0,49015.0,0.0,6.199965934253108,34.166727498357545,82194.0,33179.0,6.199965934253108
2018-06-30,GA INSURANCE LIMITED,7241.0,4513.0,0.0,4133.0,175.0,2.0,7444.0,1.4888548579207077,0.017015484090522375,35.16249787306449,11754.0,4310.0,0.017015484090522375
2018-06-30,GEMINIA INSURANCE COMPANY LIMITED,1833.0,717.0,0.0,406.0,0.0,1.0,2143.0,0.0,0.0392156862745098,15.92156862745098,2550.0,407.0,0.0392156862745098
2018-06-30,THE HERITAGE INSURANCE COMPANY LIMITED,13103.0,9749.0,283.0,7815.0,5.0,302.0,15013.0,0.02161227577263886,1.3053814566673871,33.77998703263454,23135.0,8122.0,1.3053814566673871
2018-06-30,ICEA LION GENERAL INSURANCE COMPANY LIMITED,20488.0,1284.0,0.0,933.0,0.0,0.0,20839.0,0.0,0.0,4.285320595259967,21772.0,933.0,0.0
2018-06-30,INTRA AFRICA ASSURANCE COMPANY LIMITED,403.0,781.0,0.0,458.0,0.0,8.0,718.0,0.0,0.6756756756756757,38.682432432432435,1184.0,466.0,0.6756756756756757
2018-06-30,INVESCO ASSURANCE COMPANY LIMITED,1132.0,103.0,25.0,93.0,0.0,0.0,1167.0,0.0,0.0,7.380952380952381,1260.0,93.0,0.0
2018-06-30,JUBILEE ALLIANZ GENERAL INSURANCE LIMITED,407645.0,910498.0,66.0,1046058.0,0.0,973.0,271178.0,0.0,0.07381227104351434,79.3544877936655,1318209.0,1047031.0,0.07381227104351434
2018-06-30,KENINDIA ASSURANCE COMPANY LIMITED,5490.0,4514.0,0.0,4701.0,0.0,0.0,5303.0,0.0,0.0,46.99120351859256,10004.0,4701.0,0.0
2018-06-30,KENYA ORIENT INSURANCE LIMITED,10320.0,1175.0,101.0,396.0,13.0,507.0,10680.0,0.11210762331838565,4.37219730941704,3.41497067954467,11596.0,916.0,4.37219730941704
2018-06-30,MADISON GENERAL INSURANCE KENYA LIMITED,8078.0,67173.0,0.0,62025.0,2713.0,0.0,10513.0,3.6052677040836665,0.0,82.42415383184276,75251.0,64738.0,0.0
2018-06-30,MAYFAIR INSURANCE COMPANY LIMITED,432.0,259.0,17.0,212.0,0.0,0.0,496.0,0.0,0.0,29.943502824858758,708.0,212.0,0.0
2018-06-30,OCCIDENTAL INSURANCE COMPANY LIMITED,1567.0,965.0,5.0,680.0,0.0,104.0,1753.0,0.0,4.099329917225069,26.803310997240835,2537.0,784.0,4.099329917225069
2018-06-30,PACIS INSURANCE COMPANY LIMITED,1281.0,1142.0,0.0,652.0,5.0,0.0,1766.0,0.20635575732562939,0.0,26.908790755262075,2423.0,657.0,0.0
2018-06-30,PHOENIX OF EAST AFRICA INSURANCE ,891.0,202.0,168.0,239.0,0.0,97.0,925.0,0.0,7.6923076923076925,18.95321173671689,1261.0,336.0,7.6923076923076925
